ContextTokens,GeneratedTokens,start_timestamp_ms
1205,391,251652
393,99,252055
369,52,252078
1010,393,252284
1049,395,252551
387,73,252608
1010,397,252822
912,442,253012
981,393,253297
1083,397,253415
1076,51,253432
1195,507,253476
4076,104,253501
1007,415,253718
4076,59,253718
167,217,253782
379,60,254037
1230,414,254139
1596,52,254295
1195,507,254475
1201,45,254529
6066,74,254746
4075,136,254945
4120,115,255073
931,92,255360
1264,416,255415
1351,145,255416
386,86,255548
1227,392,255976
1009,399,255994
1007,385,256263
1231,373,256498
130,185,256570
391,76,256712
380,86,256712
407,106,256893
1136,377,256992
956,65,257048
1262,395,257165
181,357,257184
91,16,257220
1086,397,257263
1112,432,257626
200,211,257981
1120,397,258185
1082,385,258376
1156,396,258674
2445,83,258834
1060,411,258876
1139,428,258980
206,211,259574
1009,394,260391
375,77,260424
1314,161,260478
435,103,260659
409,149,260660
1211,408,261306
1035,375,261321
1227,656,261457
1203,421,261936
1024,429,262019
171,205,262064
200,174,262064
923,404,262378
20,182,262391
2665,84,262613
383,75,262770
1156,536,262800
1060,429,262955
181,190,263224
1030,411,263240
1009,397,263243
980,425,263675
1204,411,264060
402,97,264173
1199,373,264647
998,415,264768
415,131,264988
1156,390,265008
311,18,265043
1264,395,265077
1207,368,265142
373,75,265314
436,136,265541
1025,428,266083
2715,43,266335
439,161,266360
963,393,266400
1130,45,266640
1139,425,266718
383,56,266973
912,395,267341
206,179,267714
1179,498,267919
120,12,268913
311,18,268983
1989,88,269241
1086,390,269400
4079,142,269562
1219,388,269703
392,122,269784
1313,176,269976
1146,418,270318
4077,42,270559
1036,403,270620
1024,407,270976
1216,392,271413
790,111,271597
1474,94,271782
1733,66,272371
1227,383,272405
1233,423,272448
1031,397,273078
1049,395,273092
4100,48,273643
181,132,274123
983,373,274192
998,402,274274
406,81,274435
1130,402,274461
181,257,274670
1169,373,275315
1029,418,275400
923,399,275456
1144,395,275458
1134,379,275493
1151,407,275587
1183,429,275665
1017,386,275673
1203,421,275769
380,81,275985
1156,388,276429
1191,409,276603
1156,408,276909
1102,612,276999
1149,385,277084
1064,394,277139
1182,388,277421
