name,num_gpu,gpu_spec,creation_time
openb-pod-0491,1,P100,10210900
openb-pod-0492,1,T4,10210977
openb-pod-0493,1,,10211166
openb-pod-0494,1,P100,10211442
openb-pod-0495,1,,10211838
openb-pod-0496,1,T4,10211861
openb-pod-0497,1,,10211972
openb-pod-0498,1,,10211993
openb-pod-0499,1,P100|V100M16|V100M32,10212039
openb-pod-0500,1,,10212048
openb-pod-0501,1,,10212283
openb-pod-0502,1,,10212372
openb-pod-0503,1,,10212413
openb-pod-0504,1,,10212621
openb-pod-0505,1,,10212626
openb-pod-0506,1,T4,10212828
openb-pod-0507,1,,10212925
openb-pod-0508,1,G2,10212954
openb-pod-0509,1,,10212968
openb-pod-0510,1,,10213065
openb-pod-0511,1,,10213190
openb-pod-0512,1,,10213497
openb-pod-0513,1,,10213546
openb-pod-0514,1,,10213708
openb-pod-0515,1,,10213806
openb-pod-0516,1,,10214358
openb-pod-0517,1,,10214440
openb-pod-0518,1,,10214507
openb-pod-0519,1,T4,10214575
openb-pod-0520,1,,10215707
openb-pod-0521,1,,10216472
openb-pod-0522,1,,10216775
openb-pod-0523,1,,10217437
openb-pod-0524,1,,10217925
openb-pod-0525,1,,10217925
openb-pod-0526,1,,10217931
openb-pod-0527,1,V100M16|V100M32|V100M32,10218024
openb-pod-0528,1,T4,10218490
openb-pod-0529,1,,10219969
openb-pod-0530,1,,10220673
openb-pod-0531,1,,10221884
openb-pod-0532,1,,10223133
openb-pod-0533,1,T4,10223139
openb-pod-0534,1,P100,10223622
openb-pod-0535,1,,10223679
openb-pod-0536,1,,10224392
openb-pod-0537,1,,10224738
openb-pod-0538,1,T4,10225414
openb-pod-0539,1,,10232587
openb-pod-0540,1,,10232803
openb-pod-0541,1,,10232974
openb-pod-0542,1,T4,10233819
openb-pod-0543,1,T4,10233991
openb-pod-0544,1,,10234226
openb-pod-0545,1,,10234994
openb-pod-0546,1,,10235081
openb-pod-0547,1,G2,10235553
openb-pod-0548,1,,10236016
openb-pod-0549,1,,10237589
openb-pod-0550,1,,10237776
openb-pod-0551,1,G3,10237776
openb-pod-0552,1,V100M16|V100M32,10240480
openb-pod-0553,1,,10243457
openb-pod-0554,1,,10243762
openb-pod-0555,1,G2|P100|T4|V100M16|V100M32,10244313
openb-pod-0556,1,,10245093
openb-pod-0557,1,,10247114
openb-pod-0558,1,T4,10247202
openb-pod-0559,1,T4,10247867
openb-pod-0560,1,,10248468
openb-pod-0561,1,T4,10248939
openb-pod-0562,1,,10250349
openb-pod-0563,1,,10250498
openb-pod-0564,1,,10250736
openb-pod-0565,1,,10252397
openb-pod-0566,1,,10253468
openb-pod-0567,1,,10254758
openb-pod-0568,1,,10255346
openb-pod-0569,1,P100|V100M16|V100M32,10255420
openb-pod-0570,1,,10256013
openb-pod-0571,1,G2,10256133
openb-pod-0572,1,T4,10256855
openb-pod-0573,1,T4,10256862
openb-pod-0574,0,,10257764
openb-pod-0575,1,,10257967
openb-pod-0576,1,,10258602
openb-pod-0577,1,,10259147
openb-pod-0578,1,,10259693
openb-pod-0579,1,,10260103
openb-pod-0580,1,,10260104
openb-pod-0581,1,,10260162
openb-pod-0582,1,,10260165
openb-pod-0583,1,,10260217
openb-pod-0584,1,,10260412
openb-pod-0585,1,,10260448
openb-pod-0586,1,,10260462
openb-pod-0587,1,P100,10260477
openb-pod-0588,1,,10260513
openb-pod-0589,1,T4,10260574
openb-pod-0590,1,,10260773
openb-pod-0591,1,T4,10260845
openb-pod-0592,1,,10260976
openb-pod-0593,1,,10261103
openb-pod-0594,1,,10261132
openb-pod-0595,1,,10261187
openb-pod-0596,1,,10261290
openb-pod-0597,1,,10261312
openb-pod-0598,1,V100M16|V100M32|V100M32,10261340
openb-pod-0599,1,,10261372
openb-pod-0600,1,,10261514
openb-pod-0601,1,T4,10261661
openb-pod-0602,1,,10261763
openb-pod-0603,1,,10261947
openb-pod-0604,1,P100,10262229
openb-pod-0605,1,,10262406
openb-pod-0606,1,T4,10262527
openb-pod-0607,1,T4,10262679
openb-pod-0608,1,,10263433
openb-pod-0609,1,,10263507
openb-pod-0610,1,P100,10263618
openb-pod-0611,1,,10263824
openb-pod-0612,1,,10263869
openb-pod-0613,1,,10263993
openb-pod-0614,1,,10264830
openb-pod-0615,1,A10|G2|T4|V100M16|V100M32,10265011
openb-pod-0616,1,T4,10265140
openb-pod-0617,1,,10265170
openb-pod-0618,1,,10265185
openb-pod-0619,1,,10265558
openb-pod-0620,1,T4,10266148
openb-pod-0621,1,,10266385
openb-pod-0622,1,T4,10266395
openb-pod-0623,1,P100,10266523
openb-pod-0624,1,,10266690
openb-pod-0625,1,T4,10266884
openb-pod-0626,1,V100M16|V100M32,10266902
openb-pod-0627,1,,10267235
openb-pod-0628,1,,10267517
openb-pod-0629,1,T4,10267882
openb-pod-0630,1,T4,10267984
openb-pod-0631,1,,10268036
openb-pod-0632,1,V100M16|V100M32,10268198
openb-pod-0633,1,P100,10269999
openb-pod-0634,1,T4,10270109
openb-pod-0635,1,,10270559
openb-pod-0636,1,,10272218
openb-pod-0637,1,T4,10272751
openb-pod-0638,1,T4,10273015
openb-pod-0639,1,,10273175
openb-pod-0640,1,,10273282
openb-pod-0641,1,,10274502
openb-pod-0642,1,,10275038
openb-pod-0643,1,,10275406
openb-pod-0644,1,P100|V100M16|V100M32,10276050
openb-pod-0645,1,,10276746
openb-pod-0646,1,,10277009
openb-pod-0647,1,T4,10277188
openb-pod-0648,0,,10277517
openb-pod-0649,0,,10277525
openb-pod-0650,0,,10277534
openb-pod-0651,0,,10277694
openb-pod-0652,0,,10277875
openb-pod-0653,1,,10277915
openb-pod-0654,1,T4,10278261
openb-pod-0655,1,,10278278
openb-pod-0656,1,P100,10278362
openb-pod-0657,1,,10279220
openb-pod-0658,1,,10279444
openb-pod-0659,1,T4,10279624
openb-pod-0660,1,G2,10280004
openb-pod-0661,1,,10280071
openb-pod-0662,0,,10280529
openb-pod-0663,1,,10280778
openb-pod-0664,1,,10280815
openb-pod-0665,1,,10281084
openb-pod-0666,1,,10281304
openb-pod-0667,1,,10281564
openb-pod-0668,1,,10281591
openb-pod-0669,1,T4,10281731
openb-pod-0670,1,,10281756
openb-pod-0671,1,,10281935
openb-pod-0672,1,,10282091
openb-pod-0673,1,,10282240
openb-pod-0674,1,,10282252
openb-pod-0675,1,,10282253
openb-pod-0676,1,,10282268
openb-pod-0677,1,,10282330
openb-pod-0678,1,,10282361
openb-pod-0679,1,T4,10282412
openb-pod-0680,1,P100|V100M16|V100M32,10282878
openb-pod-0681,1,,10282886
openb-pod-0682,1,T4,10283250
openb-pod-0683,1,,10283282
openb-pod-0684,1,V100M16|V100M32,10283497
openb-pod-0685,1,V100M16|V100M32,10283497
openb-pod-0686,1,T4,10283554
openb-pod-0687,1,,10283701
openb-pod-0688,1,,10283834
openb-pod-0689,1,,10283917
openb-pod-0690,1,,10283952
openb-pod-0691,1,,10284010
openb-pod-0692,1,,10284053
openb-pod-0693,1,T4,10284055
openb-pod-0694,1,P100,10284444
openb-pod-0695,1,,10284572
openb-pod-0696,1,,10284612
openb-pod-0697,1,,10284834
openb-pod-0698,1,,10284914
openb-pod-0699,1,,10285049
openb-pod-0700,1,,10285062
openb-pod-0701,1,,10285584
openb-pod-0702,1,,10285684
openb-pod-0703,1,G2,10285696
openb-pod-0704,1,,10286144
openb-pod-0705,1,,10286148
openb-pod-0706,1,T4,10286237
openb-pod-0707,1,,10286458
openb-pod-0708,1,,10286531
openb-pod-0709,0,,10286759
openb-pod-0710,1,,10286819
openb-pod-0711,0,,10287519
openb-pod-0712,1,,10287566
openb-pod-0713,0,,10287684
openb-pod-0714,1,,10287821
openb-pod-0715,1,G2,10287906
openb-pod-0716,1,,10287971
openb-pod-0717,1,T4,10288025
openb-pod-0718,1,,10288056
openb-pod-0719,1,,10288251
openb-pod-0720,1,,10288632
openb-pod-0721,0,,10288768
openb-pod-0722,1,,10289332
openb-pod-0723,1,,10290217
openb-pod-0724,1,T4,10290217
openb-pod-0725,1,,10290268
openb-pod-0726,0,,10290883
openb-pod-0727,1,,10290997
openb-pod-0728,0,,10291056
openb-pod-0729,1,,10291241
openb-pod-0730,1,T4,10291568
openb-pod-0731,1,,10291594
openb-pod-0732,1,,10291860
openb-pod-0733,1,,10292589
openb-pod-0734,1,G2,10292824
openb-pod-0735,1,V100M16|V100M32,10292995
openb-pod-0736,1,T4,10293013
openb-pod-0737,1,,10293874
openb-pod-0738,1,,10293926
openb-pod-0739,1,,10294021
openb-pod-0740,1,T4,10294984
openb-pod-0741,1,,10295521
openb-pod-0742,1,,10295551
openb-pod-0743,1,,10296005
openb-pod-0744,1,,10296154
openb-pod-0745,1,,10296182
openb-pod-0746,1,,10296436
openb-pod-0747,1,G2,10296641
openb-pod-0748,1,,10296797
openb-pod-0749,0,,10296892
openb-pod-0750,0,,10296892
openb-pod-0751,0,,10296894
openb-pod-0752,1,,10297414
openb-pod-0753,1,T4,10297478
openb-pod-0754,1,,10297481
openb-pod-0755,1,G2,10297562
openb-pod-0756,1,T4,10297584
openb-pod-0757,1,,10297724
openb-pod-0758,1,,10297734
openb-pod-0759,1,T4,10297773
openb-pod-0760,1,,10297877
openb-pod-0761,1,,10298377
openb-pod-0762,1,G2,10298794
openb-pod-0763,1,,10298876
openb-pod-0764,1,,10299155
openb-pod-0765,1,T4,10299397
openb-pod-0766,1,G2|P100|T4|V100M16|V100M32,10299470
openb-pod-0767,1,,10299478
openb-pod-0768,1,T4,10299568
openb-pod-0769,1,,10299841
openb-pod-0770,1,,10300035
openb-pod-0771,1,,10300246
