instance_sn,role,app_name,creation_time,gpu_request
instance_7806,CN,app_21,144109.0,0
instance_7807,CN,app_0,144109.0,0
instance_7808,CN,app_87,144374.0,0
instance_7809,CN,app_87,144375.0,0
instance_7810,CN,app_0,144619.0,0
instance_7811,CN,app_0,144859.0,0
instance_7812,CN,app_30,145309.0,0
instance_7813,CN,app_70,145446.0,0
instance_7814,CN,app_0,145571.0,0
instance_7815,HN,app_23,147475.0,1
instance_7816,HN,app_62,147476.0,1
instance_7817,HN,app_22,147477.0,1
instance_7818,HN,app_0,147636.0,1
instance_7819,HN,app_0,147636.0,1
instance_7820,CN,app_91,147747.0,0
instance_7821,CN,app_26,147747.0,0
instance_7822,CN,app_21,147747.0,0
instance_7823,CN,app_13,147748.0,0
instance_7824,CN,app_50,147748.0,0
instance_7825,CN,app_50,147748.0,0
instance_7826,CN,app_87,148107.0,0
instance_7827,CN,app_87,148138.0,0
instance_7828,CN,app_87,148707.0,0
instance_7829,CN,app_87,149218.0,0
instance_7830,CN,app_87,149308.0,0
instance_7831,CN,app_0,149313.0,0
instance_7832,CN,app_87,149367.0,0
instance_7833,CN,app_37,149570.0,0
instance_7834,CN,app_0,150267.0,0
instance_7835,HN,app_0,151025.0,1
instance_7836,CN,app_87,151263.0,0
instance_7837,CN,app_87,151391.0,0
instance_7838,CN,app_68,151391.0,0
instance_7839,CN,app_21,151391.0,0
instance_7840,CN,app_35,151864.0,0
instance_7841,CN,app_87,152321.0,0
instance_7842,CN,app_35,154003.0,0
instance_7843,CN,app_87,154003.0,0
instance_7844,CN,app_87,154033.0,0
instance_7845,CN,app_87,154123.0,0
instance_7846,CN,app_87,154574.0,0
instance_7847,CN,app_87,155233.0,0
instance_7848,CN,app_87,155263.0,0
instance_7849,CN,app_87,155323.0,0
instance_7850,CN,app_87,155353.0,0
instance_7851,CN,app_87,155353.0,0
instance_7852,CN,app_37,157600.0,0
instance_7853,HN,app_0,157809.0,1
instance_7854,CN,app_26,158031.0,0
instance_7855,CN,app_87,158052.0,0
instance_7856,CN,app_0,158052.0,0
instance_7857,HN,app_23,158479.0,1
instance_7858,HN,app_62,158480.0,1
instance_7859,CN,app_35,158652.0,0
instance_7860,CN,app_87,159026.0,0
instance_7861,CN,app_87,159026.0,0
instance_7862,CN,app_87,159026.0,0
instance_7863,CN,app_87,159026.0,0
instance_7864,CN,app_87,159026.0,0
instance_7865,CN,app_87,159475.0,0
instance_7866,CN,app_87,159717.0,0
instance_7867,CN,app_87,159746.0,0
instance_7868,CN,app_87,159806.0,0
instance_7869,CN,app_30,159852.0,0
instance_7870,CN,app_82,159852.0,0
instance_7871,CN,app_87,160106.0,0
instance_7872,HN,app_0,161186.0,1
instance_7873,CN,app_88,163267.0,0
instance_7874,CN,app_13,163267.0,0
instance_7875,CN,app_87,163387.0,0
instance_7876,CN,app_87,163387.0,0
instance_7877,CN,app_87,163387.0,0
instance_7878,CN,app_87,163387.0,0
instance_7879,CN,app_87,163419.0,0
instance_7880,CN,app_0,163502.0,0
instance_7881,CN,app_87,164131.0,0
instance_7882,CN,app_0,164153.0,0
instance_7883,CN,app_23,164101.0,0
instance_7884,CN,app_35,164281.0,0
instance_7885,HN,app_0,164577.0,1
instance_7886,HN,app_0,164578.0,1
instance_7887,CN,app_38,164941.0,0
instance_7888,CN,app_87,165247.0,0
instance_7889,CN,app_22,165310.0,0
instance_7890,CN,app_87,165512.0,0
instance_7891,CN,app_35,165605.0,0
instance_7892,CN,app_87,166502.0,0
instance_7893,CN,app_19,166917.0,0
instance_7894,CN,app_34,166918.0,0
instance_7895,CN,app_87,167577.0,0
instance_7896,CN,app_87,167638.0,0
instance_7897,CN,app_87,167698.0,0
instance_7898,CN,app_87,167758.0,0
instance_7899,CN,app_87,167787.0,0
instance_7900,CN,app_87,167847.0,0
instance_7901,CN,app_87,167937.0,0
instance_7902,CN,app_87,167967.0,0
instance_7903,CN,app_87,167998.0,0
instance_7904,CN,app_87,168344.0,0
instance_7905,CN,app_87,168345.0,0
instance_7906,CN,app_87,168449.0,0
instance_7907,CN,app_87,168657.0,0
instance_7908,CN,app_87,171110.0,0
instance_7909,CN,app_19,171217.0,0
instance_7910,CN,app_34,171218.0,0
instance_7911,HN,app_0,171354.0,1
instance_7912,HN,app_0,171355.0,1
instance_7913,CN,app_87,171608.0,0
instance_7914,CN,app_87,171638.0,0
instance_7915,CN,app_87,171638.0,0
instance_7916,CN,app_87,171638.0,0
instance_7917,CN,app_87,171638.0,0
instance_7918,CN,app_87,171638.0,0
instance_7919,CN,app_87,171668.0,0
instance_7920,CN,app_87,171698.0,0
instance_7921,CN,app_87,171698.0,0
instance_7922,CN,app_87,171698.0,0
instance_7923,CN,app_87,171698.0,0
instance_7924,CN,app_87,171698.0,0
instance_7925,CN,app_87,171724.0,0
instance_7926,CN,app_87,171724.0,0
instance_7927,CN,app_87,171724.0,0
instance_7928,CN,app_87,171724.0,0
instance_7929,CN,app_87,171728.0,0
instance_7930,CN,app_87,171728.0,0
instance_7931,CN,app_87,171728.0,0
instance_7932,CN,app_87,171728.0,0
instance_7933,CN,app_87,171728.0,0
instance_7934,CN,app_35,171889.0,0
instance_7935,CN,app_87,172427.0,0
instance_7936,CN,app_37,172429.0,0
instance_7937,CN,app_87,172838.0,0
instance_7938,CN,app_35,173279.0,0
instance_7939,CN,app_87,173229.0,0
instance_7940,CN,app_91,174548.0,0
instance_7941,CN,app_91,174548.0,0
instance_7942,CN,app_91,174548.0,0
instance_7943,CN,app_91,174548.0,0
instance_7944,CN,app_91,174548.0,0
instance_7945,HN,app_0,174732.0,1
instance_7946,CN,app_0,174902.0,0
instance_7947,CN,app_0,174902.0,0
instance_7948,CN,app_26,175036.0,0
instance_7949,CN,app_0,175400.0,0
instance_7950,CN,app_0,175399.0,0
instance_7951,CN,app_91,175400.0,0
instance_7952,CN,app_0,175400.0,0
instance_7953,CN,app_91,175400.0,0
instance_7954,CN,app_91,175400.0,0
instance_7955,CN,app_0,175400.0,0
instance_7956,CN,app_91,174548.0,0
instance_7957,CN,app_37,176052.0,0
instance_7958,CN,app_91,176429.0,0
instance_7959,CN,app_91,176429.0,0
instance_7960,CN,app_87,176444.0,0
instance_7961,CN,app_87,176444.0,0
instance_7962,CN,app_87,176642.0,0
instance_7963,CN,app_0,177050.0,0
instance_7964,CN,app_76,177705.0,0
instance_7965,HN,app_48,177836.0,1
instance_7966,HN,app_0,178130.0,1
